id,element,ff_type,charge,x,y,z
50,Si,sc1,1,4.0690135959999996,1.672e-06,22.375032425000001
51,Si,sc1,1,0.0074133790000000003,5.5999999999999999e-08,19.804086685000001
52,O,oc1,-1,6.0997695920000004,3.517407656,21.445661545
53,O,oc2,-1.5,2.0381910799999998,3.517406464,21.006702423
54,O,oc1,-1,3.3181746009999999,1.3004024030000001,22.898296355999999
55,O,oc1,-1,5.5705261229999996,4.8760000000000004e-06,22.898542404000001
56,O,oc1,-1,4.0687904359999996,-1.378e-06,18.450834274000002
57,O,oc1,-1,4.0691871639999997,4.6260000000000003e-06,20.793237686000001
58,O,oc2,-1.5,2.038265467,3.5174045559999998,24.032651901000001
59,O,oc2,-1.5,8.130474091,-3.3749999999999999e-06,17.881511688
60,O,oc1,-1,0.75763809699999995,-1.2991771700000001,-0.47882145599999998
61,O,oc1,-1,4.5887341499999996,3.5174095630000002,19.247896193999999
62,O,oc1,-1,4.5996661190000001,3.517399073,-0.47904080199999999
63,O,oc1,-1,6.8552298550000001,4.8259563449999998,19.247844696000001
64,Ca,ca++,1.5,11.131933212,5.1989712719999996,2.717641354
65,Ca,ca++,1.5,9.2264280319999994,1.898623943,5.7121715550000003
66,Ca,ca++,1.5,3.0281474589999999,5.2323145870000003,-0.054302976000000003
67,O,oc1,-1,-0.74353510099999998,-1.3003945349999999,6.0484218600000004
68,O,oc1,-1,8.8805274959999991,1.2991856340000001,7.9461088179999999
69,O,oc1,-1,2.7935070990000002,2.2088480000000001,2.3979744909999998
70,Ca,ca++,1.5,5.0396099090000002,5.3532428740000002,2.717640877
71,Ca,ca++,1.5,3.1341536049999998,1.6187821630000001,5.7121739390000004
72,Ca,ca++,1.5,9.1204242709999992,5.3199009899999998,-0.054302960999999997
73,Ca,ca++,1.5,5.9379730220000004,8.4e-07,5.7120742800000004
74,Ca,ca++,1.5,2.1271018979999998,-1.9149999999999999e-06,2.7175228599999999
75,Ca,ca++,1.5,6.1501188280000001,-2.0810000000000001e-06,-0.054185881999999998
76,Si,sc1,1,6.0995073319999999,3.5174033640000002,0.028616355999999999
77,Si,sc1,1,6.0995736120000004,3.5174040789999999,5.5251588820000004
78,Si,sc1,1,2.0380220410000001,3.5174050330000002,2.9542126660000001
79,O,oc1,-1,8.1303272250000003,-1.5740000000000001e-06,4.5957880019999999
80,O,oc2,-1.5,4.0687494280000003,-1.99e-06,4.1568284029999996
81,O,oc1,-1,5.3487377169999997,4.8178086279999999,6.0484218600000004
82,O,oc1,-1,7.6010856630000001,3.5174021720000002,6.0486693379999998
83,O,oc1,-1,6.0993504520000004,3.5174021720000002,1.6009607320000001
84,O,oc1,-1,6.0997471809999997,3.5174026490000001,3.9433636669999999
85,O,oc2,-1.5,4.0688233379999996,1.124e-06,7.1827778819999999
86,O,oc2,-1.5,10.16103363,3.517408133,1.0316377880000001
87,O,oc1,-1,2.7882030009999998,2.218219757,7.9461069110000002
88,O,oc1,-1,6.6192922589999998,-2.2290000000000002e-06,2.398023367
89,O,oc1,-1,6.6302237509999999,8.1159999999999999e-06,7.9458861350000003
