t1,t2,lj_a,lj_b
NC2,OC,829897.19674426329,717.12437923256948
SOD,CLI,610288.97115192364,452.49524839656647
POT,CLI,2437822.746902673,1055.4375762027307
SOD,OC,83303.885125771747,158.1070202380071
SOD,OCL,83303.885125771747,158.1070202380071
