id,element,ff_type,charge,x,y,z
1,Ca,ca+a,1.5,0.779275363,0.14015039700000001,0.64580484599999999
2,Ca,ca+a,1.5,5.1919688849999996,-1.840280283,1.854159713
3,Ca,ca+a,1.5,3.9114490150000001,3.9396266529999999,3.7111067700000002
4,Ca,ca+a,1.5,6.1864388039999998,5.9110645399999999,5.5964853339999996
5,Ca,ca+a,1.5,2.3174884709999999,5.8190208529999996,1.565766472
6,Ca,ca+a,1.5,5.9847942280000002,5.7193653480000002,1.3709191620000001
7,Al,ac1,1.2000000476837158,3.6384935760000001,0.042939325,-0.169992318
8,Al,ac1,1.2000000476837158,3.7727724290000002,3.5206504970000001,-0.55538465800000003
9,O,oc3,-0.75,4.0982307459999996,1.7529844050000001,-0.465719102
10,O,oc3,-0.75,7.335151572,1.8437997699999999,3.1018697880000001
11,O,oc4,-1.3500000238418579,4.1689572249999998,4.1968000620000003,1.1017555720000001
12,O,oc4,-1.3500000238418579,3.550448083,6.148102937,3.913454996
13,O,oc4,-1.3500000238418579,4.987126634,-0.99853855599999997,-0.30577903099999998
14,O,oc4,-1.3500000238418579,2.1683998519999998,-0.11127596100000001,-1.0350529550000001
15,Ca,ca+a,1.5,8.3891190850000008,-0.14220208000000001,6.5993143559999998
16,Ca,ca+a,1.5,-2.3632254009999998,-1.7007588520000001,5.123285621
17,Ca,ca+a,1.5,4.110475611,11.588771817,11.145526834
18,Ca,ca+a,1.5,2.3895696449999999,9.6633501089999996,13.138797211
19,Ca,ca+a,1.5,5.9504456760000002,9.7564597479999993,9.7087546949999997
20,Ca,ca+a,1.5,2.263979167,10.019056365000001,8.8299330699999992
21,Al,ac1,1.2000000476837158,4.3084458630000002,15.111845304999999,7.5029343859999997
22,Al,ac1,1.2000000476837158,4.5304000420000001,11.661717143000001,7.41798629
23,O,oc3,-0.75,4.0196658459999997,13.375052994000001,7.4324828749999998
24,O,oc3,-0.75,15.951627186,13.342195599,10.976304511
25,O,oc4,-1.3500000238418579,4.2150142539999997,11.015986592000001,8.9829659110000009
26,O,oc4,-1.3500000238418579,4.6350734610000002,9.1498552709999998,11.472586187999999
27,O,oc4,-1.3500000238418579,2.7992755109999998,15.733500730999999,6.8091556720000002
28,O,oc4,-1.3500000238418579,5.7698589580000004,15.308589854999999,6.6817371469999998
29,Ca,ca+a,1.5,0.10405350300000001,7.6664543289999996,7.2325054980000001
30,Ca,ca+a,1.5,8.0800727709999993,7.9694365439999997,7.1583808759999998
31,Ca,ca+a,1.5,11.638247687,11.888995223,3.3596491319999999
32,Ca,ca+a,1.5,9.5489030830000008,13.753718355,1.432052162
33,Ca,ca+a,1.5,13.5775589,13.599312918000001,5.3998554839999997
34,Ca,ca+a,1.5,9.8143220499999995,13.447957449,5.802849997
35,Al,ac1,1.2000000476837158,11.658116156,7.858456061,7.0417484259999998
36,Al,ac1,1.2000000476837158,12.055156508,11.310222501,7.4105913120000002
37,O,oc3,-0.75,11.643499598,9.5698160150000007,7.474236286
38,O,oc3,-0.75,8.137106459,9.4366440019999995,3.6836615350000002
39,O,oc4,-1.3500000238418579,11.581470333,12.049594072,5.8889853069999996
