atom_type,element,mass_amu,vdw_style,lj_a,lj_b,notes
HOC,X,0,lj_ab_12_6,0.039925293486168752,0.048944025265297959,
HOK,X,0,lj_ab_12_6,0.039925293486168752,0.048944025265297959,
HOL,X,0,lj_ab_12_6,3.0882604789375187e-06,0.00075381690623420186,
HOP,X,0,lj_ab_12_6,0,0,
HOY,X,0,lj_ab_12_6,0.039925293486168752,0.048944025265297959,
HP,X,0,lj_ab_12_6,4842.235599400703,24.105357743208963,
HR1,X,0,lj_ab_12_6,53.214243545604106,3.1291246080000001,
HR2,X,0,lj_ab_12_6,2.6079199692636141,0.69271731199999975,
HR3,X,0,lj_ab_12_6,3200.1270263701617,9.9921951153262132,
HS,X,0,lj_ab_12_6,0.028242953648100005,0.10628820000000001,
HT,X,0,lj_ab_12_6,3.0882604789375187e-06,0.00075381690623420186,
IHOY,X,0,lj_ab_12_6,4.0960000000000004e-36,1.2800000000000001e-19,
IOHY,X,0,lj_ab_12_6,371803.54661222763,425.95789785701481,
K+,X,0,lj_ab_12_6,1813147.5816989981,1204.3745535999997,
MG,X,0,lj_ab_12_6,471.05477571275941,5.3163226522442715,
N,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NA+,X,0,lj_ab_12_6,96791.896697517775,190.77146840727175,
NAI,X,0,lj_ab_12_6,14614.067085908886,76.456699081006334,
NC,X,0,lj_ab_12_6,3949771.2035040236,3078.871690800001,
NC2,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NCH2,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NE,X,0,lj_ab_12_6,57963.629128793786,141.20725342667444,
NH1,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NH2,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NH3,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NH3L,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NI,X,0,lj_ab_12_6,431138.18431007385,3121.4937074111922,
NN,X,0,lj_ab_12_6,1353809.4180219695,570.01250891999962,
NP,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NR1,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NR2,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NR3,X,0,lj_ab_12_6,987442.8008760059,769.71792270000026,
NS1,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NS2,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NTL,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
NY,X,0,lj_ab_12_6,1316590.4011680079,1026.2905636000003,
O,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
O*,X,0,lj_ab_12_6,628937.22041075269,625.05663848899292,
O2L,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
OAL1,X,0,lj_ab_12_6,348563.29610525572,354.23549595980927,
OAL2,X,0,lj_ab_12_6,371803.54661222763,425.95789785701481,
OAP1,X,0,lj_ab_12_6,167049.44785851703,216.27261823999999,
OAP2,X,0,lj_ab_12_6,526636.16046720312,410.51622544000014,
OB,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
OBL,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
OC,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
OC1,X,0,lj_ab_12_6,76351.334540602082,156.30875552249998,
OC2,X,0,lj_ab_12_6,270337.64064453123,294.1225,
OC23,X,0,lj_ab_12_6,164568.78292672371,188.5387416744164,
OC24,X,0,lj_ab_12_6,371803.54661222763,425.95789785701481,
OC3,X,0,lj_ab_12_6,270337.64064453123,294.1225,
OC4,X,0,lj_ab_12_6,190913.654695448,247.16870655999995,
OC5,X,0,lj_ab_12_6,365708.40650383045,418.97498149870313,
OCA,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
OCL,X,0,lj_ab_12_6,286370.482043172,370.75305983999993,
OH1,X,0,lj_ab_12_6,589071.9704178822,598.65798817207769,
OH2,X,0,lj_ab_12_6,719157.19448651758,743.37096273895452,
OHL,X,0,lj_ab_12_6,589071.9704178822,598.65798817207769,
OPE,X,0,lj_ab_12_6,166788.95149529842,258.29359379999994,
OS,X,0,lj_ab_12_6,589071.9704178822,598.65798817207769,
OSL,X,0,lj_ab_12_6,589071.9704178822,598.65798817207769,
OT,X,0,lj_ab_12_6,581923.36738085956,595.01443403880126,
OY1,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY2,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY3,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY4,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY5,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY6,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY7,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY8,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
OY9,X,0,lj_ab_12_6,84480.512701416024,91.913281250000011,
PAP,X,0,lj_ab_12_6,11188696.623233518,3539.9633074399994,
PB,X,0,lj_ab_12_6,12347585.173684245,12029.700671071552,
PD,X,0,lj_ab_12_6,1548873.774040116,6172.7056337870881,
PL,X,0,lj_ab_12_6,23376384.016398594,7395.9947673299976,
POT,X,0,lj_ab_12_6,322941.24983667437,335.23656564158193,
PT,X,0,lj_ab_12_6,2193218.2521562153,8272.1466057652724,
PTL1,X,0,lj_ab_12_6,2193218.2521562153,8272.1466057652724,
PTeg,X,0,lj_ab_12_6,2193218.2521562153,8272.1466057652724,
PTf,X,0,lj_ab_12_6,2193218.2521562153,8272.1466057652724,
S,X,0,lj_ab_12_6,7549747.2000000002,3686.4000000000001,
SC1,X,0,lj_ab_12_6,32407686.070817869,7805.5396874999997,
SC4,X,0,lj_ab_12_6,2426945.9764881576,950.17046010365664,
SL,X,0,lj_ab_12_6,14160850.658720659,5159.6898393600013,
SM,X,0,lj_ab_12_6,5482122.6054775845,2886.6635343118755,
SOD,X,0,lj_ab_12_6,7949.6856117226562,38.61814367313854,
SS,X,0,lj_ab_12_6,24747422.665085487,6820.9350246400027,
SY1,X,0,lj_ab_12_6,838860.80000000005,409.60000000000002,
SY2,X,0,lj_ab_12_6,838860.80000000005,409.60000000000002,
ZN,X,0,lj_ab_12_6,2880.168736545686,53.66720354691202,
aot1,X,0,lj_ab_12_6,12672860.00941317,1743.9857804062397,
aot2,X,0,lj_ab_12_6,12672860.00941317,1743.9857804062397,
aot3,X,0,lj_ab_12_6,12672860.00941317,1743.9857804062397,
aot4,X,0,lj_ab_12_6,12672860.00941317,1743.9857804062397,
ato1,X,0,lj_ab_12_6,102337003.35758421,5722.5729418179499,
ato2,X,0,lj_ab_12_6,102337003.35758421,5722.5729418179499,
ato3,X,0,lj_ab_12_6,102337003.35758421,5722.5729418179499,
atoh,X,0,lj_ab_12_6,371803.54661222763,425.95789785701481,
c',X,0,lj_ab_12_6,2968753.3587880074,1325.7081082962795,
c1,X,0,lj_ab_12_6,1790340.7240865238,528.48193247971847,
cae,X,0,lj_ab_12_6,5.0331648000000031e-06,0.0024576000000000008,
cg1,X,0,lj_ab_12_6,731775.46582409402,449.4107570669064,
cge,X,0,lj_ab_12_6,4.095999999999998e-75,1.2799999999999996e-40,
clo4,X,0,lj_ab_12_6,9038840.8459919095,3293.4190464000008,
fem,X,0,lj_ab_12_6,1648.7646091435236,36.318200496649318,
h1,X,0,lj_ab_12_6,7108.466524803519,32.8707607421875,
hiff,X,0,lj_ab_12_6,20194.757999999998,55.403999999999996,
ho,X,0,lj_ab_12_6,0,0,
ho1,X,0,lj_ab_12_6,0,0,
hos,X,0,lj_ab_12_6,0,0,
hspc,X,0,lj_ab_12_6,0,0,
nat,X,0,lj_ab_12_6,14614.067085908886,76.456699081006334,
ng1,X,0,lj_ab_12_6,987442.8008760059,769.71792270000026,
o',X,0,lj_ab_12_6,272894.7846521957,498.8787864830519,
o-,X,0,lj_ab_12_6,272894.7846521957,498.8787864830519,
o2,X,0,lj_ab_12_6,172526.39806838907,268.80114492137369,
o4cl,X,0,lj_ab_12_6,219750.75183340203,310.95068870593758,
ofm,X,0,lj_ab_12_6,549204.81543734961,662.84527029305991,
oh,X,0,lj_ab_12_6,272894.7846521957,498.8787864830519,
oo1,X,0,lj_ab_12_6,628937.22041075269,625.05663848899292,
opht,X,0,lj_ab_12_6,173285.81243348101,390.50161964000006,
ospc,X,0,lj_ab_12_6,628937.22041075269,625.05663848899292,
ovm,X,0,lj_ab_12_6,549200.98379032686,662.84295804682233,
ovmf,X,0,lj_ab_12_6,549200.98379032686,662.84295804682233,
ozr1,X,0,lj_ab_12_6,6283361.1171488622,1326.4015654399996,
ozr2,X,0,lj_ab_12_6,6283361.1171488622,1326.4015654399996,
ozr3,X,0,lj_ab_12_6,6283361.1171488622,1326.4015654399996,
ozr4,X,0,lj_ab_12_6,6283361.1171488622,1326.4015654399996,
ozr5,X,0,lj_ab_12_6,6283361.1171488622,1326.4015654399996,
ozr6,X,0,lj_ab_12_6,6283361.1171488622,1326.4015654399996,
ozr7,X,0,lj_ab_12_6,6283361.1171488622,1326.4015654399996,
ozr8,X,0,lj_ab_12_6,6283361.1171488622,1326.4015654399996,
rot1,X,0,lj_ab_12_6,5385738.1004133103,1136.9156275199996,
rot2,X,0,lj_ab_12_6,5385738.1004133103,1136.9156275199996,
rot3,X,0,lj_ab_12_6,5385738.1004133103,1136.9156275199996,
rto1,X,0,lj_ab_12_6,49183010.094120711,3967.1858073600015,
rto2,X,0,lj_ab_12_6,49183010.094120711,3967.1858073600015,
rto3,X,0,lj_ab_12_6,49183010.094120711,3967.1858073600015,
rtoh,X,0,lj_ab_12_6,371803.54661222763,425.95789785701481,
spch,X,0,lj_ab_12_6,0,0,
spco,X,0,lj_ab_12_6,628937.22041075269,625.05663848899292,
spht,X,0,lj_ab_12_6,9038840.8459919095,3293.4190464000008,
vv1,X,0,lj_ab_12_6,1311.5655934506449,32.392166873497608,
vvm,X,0,lj_ab_12_6,1311.5655934506449,32.392166873497608,
zoh1,X,0,lj_ab_12_6,371803.54661222763,425.95789785701481,
zoh2,X,0,lj_ab_12_6,371803.54661222763,425.95789785701481,
zr1,X,0,lj_ab_12_6,61478762.617650889,4958.9822592000019,
zr2,X,0,lj_ab_12_6,61478762.617650889,4958.9822592000019,
zr3,X,0,lj_ab_12_6,61478762.617650889,4958.9822592000019,
zr4,X,0,lj_ab_12_6,61478762.617650889,4958.9822592000019,
