atom_type,nonb,bond,angle,torsion,oop
n3m,n,n3,n3,n3,n3
n3n,n,n,n,n,n
n4,n,n4,n3,n3,n3
n4m,n,n3,n3,n3,n3
n4n,n,n,n,n,n
n=,n,n=,np,np,np
n=1,n,n=1,np,np,np
n=2,n,n=2,np,np,np
na,n,n3,n3,n3,n3
na+,na+,na+,na+,na+,na+
nb,n,n3,n3,n3,n3
nh,n,np,np,np,np
nh+,n,nh+,np,np,np
nho,n,np,np,np,np
ni,n,ni,np,np,np
nn,n,n3,n3,n3,n3
no,n,no,no,no,no
np,n,np,np,np,np
npc,n,np,np,np,np
nr,n,n2,n2,n2,n2
nt,n,nt,nt,nt,nt
nu,nu,nu,nu,nu,nu
nz,n,nz,nz,nz,nz
o,o',o,o,o,o'
o$,o$,o$,o$,o$,o$
o',o',o',o',o',o'
o*,o*,o*,o*,o*,o*
o-,o',o-,o-,o',o'
o00,o00,o00,o00,o00,o00
o10,o10,o10,o10,o10,o10
o11,o11,o11,o11,o11,o11
o1a,o1a,o1a,o1a,o1a,o1a
o2,o2,o2,o2,o2,o2
o3e,o',o,o,o,o'
o4e,o',o,o,o,o'
oa1,oa1,oa1,oa1,oe1,oa1
oal1,oal1,oal1,oal1,oal1,oal1
oal2,oal2,oal2,oal2,oal2,oal2
oap1,oap1,oap1,oap1,oap1,oap1
oap2,oap2,oap2,oap2,oap2,oap2
oat5,oa1,oa1,oa1,oet5,oa1
oc,o',o,o,o,o'
oc1,oc1,oc1,oc1,oc1,oc1
oc2,oc2,oc2,oc2,oc2,oc2
oc23,oc23,oc23,oc23,oc23,oc23
oc24,oc24,oc23,oc23,oc23,oc23
oc3,oc3,oc3,oc3,oc3,oc3
oc4,oc4,oc4,oc4,oc4,oc4
oc5,oc5,oc5,oc5,oc5,oc5
oe,o',o,o,o,o'
oe1,oe1,oe1,oe1,oe1,oe1
oet5,oe1,oe1,oe1,oet5,oe1
of,o',oh,o,of,o'
oh,o',oh,o,o,o'
op,o',op,op,op,op
ospc,ospc,ospc,o*,o*,o*
ot5,ot5,ot5,ot5,ot5,ot5
otip,otip,otip,o*,o*,o*
oy1,oy1,oy1,oy1,oy1,oy1
oy2,oy1,oy2,oy2,oy2,oy2
oy3,oy1,oy3,oy3,oy3,oy3
oy4,oy4,oy4,oy4,oy4,oy4
oy5,oy4,oy5,oy5,oy5,oy5
oy6,oy4,oy6,oy6,oy6,oy6
oy7,oy4,oy7,oy7,oy7,oy7
oy8,oy4,oy8,oy8,oy8,oy8
oy9,oy4,oy9,oy9,oy9,oy9
oz,oz,oz,oz,oz,oz
ozr1,ozr1,ozr1,ozr1,ozr1,ozr1
ozr2,ozr2,ozr2,ozr2,ozr2,ozr2
ozr3,ozr3,ozr3,ozr3,ozr3,ozr3
ozr4,ozr4,ozr4,ozr4,ozr4,ozr4
ozr5,ozr5,ozr5,ozr5,ozr5,ozr5
ozr6,ozr6,ozr6,ozr6,ozr6,ozr6
ozr7,ozr7,ozr7,ozr7,ozr7,ozr7
ozr8,ozr8,ozr8,ozr8,ozr8,ozr8
p,p,p,p,p,p
p$,p$,p$,p$,p$,p$
pap,pap,pap,pap,pap,pap
pz,p,p,p,p,p
rb+,rb+,rb+,rb+,rb+,rb+
rot1,rot1,rot1,rot1,rot1,rot1
rot2,rot2,rot2,rot2,rot2,rot2
rot3,rot3,rot3,rot3,rot3,rot3
rto1,rto1,rto1,rto1,rto1,rto1
rto2,rto2,rto2,rto2,rto2,rto2
rto3,rto3,rto3,rto3,rto3,rto3
rtoh,rtoh,rtoh,rtoh,rtoh,rtoh
s,s,s,s,s,s
s$,s$,s$,s$,s$,s$
s',s',s',s',s',s'
s1,s,s,s,s,s
s3e,s,s,s,s,s
s4e,s,s,s,s,s
sc,s,s,s,s,s
sc1,sc1,sc1,sc1,sc1,sc4
sc4,sc4,sc4,sc4,sc4,sc4
sh,s,sh,sh,sh,sh
si,si,si,si,si,si
sp,s',sp,sp,sp,sp
sr2+,sr2+,sr2+,sr2+,sr2+,sr2+
sy1,sy1,sy1,sy1,sy1,sy1
sy2,sy1,sy2,sy2,sy2,sy2
sz,sz,sz,sz,sz,sz
tft,tft,tft,tft,tft,tft
zfz,zfz,zfz,zfz,zfz,zfz
zn2+,zn2+,zn2+,zn2+,zn2+,zn2+
zoh1,zoh1,zoh1,zoh1,zoh1,zoh1
zoh2,zoh2,zoh2,zoh2,zoh2,zoh2
zr1,zr1,zr1,zr1,zr1,zr1
zr2,zr2,zr2,zr2,zr2,zr2
zr3,zr3,zr3,zr3,zr3,zr3
zr4,zr4,zr4,zr4,zr4,zr4
