t1,t2,t3,style,k,theta0_deg,source
*4,cp_,s_,quadratic,89,120,cvff_auto
*4,n3m_,s'_,quadratic,80,114,cvff_auto
*4,n4m_,s'_,quadratic,80,114,cvff_auto
*4,n_,s'_,quadratic,70,120,cvff_auto
*4,na_,s'_,quadratic,80,114,cvff_auto
*4,np_,s'_,quadratic,75,120,cvff_auto
*4,np_,s3e_,quadratic,75,120,cvff_auto
*4,np_,s4e_,quadratic,75,120,cvff_auto
*4,np_,s_,quadratic,75,120,cvff_auto
*4,o_,s'_,quadratic,60,109.5,cvff_auto
*4,o_,s3e_,quadratic,60,109.5,cvff_auto
*4,o_,s4e_,quadratic,60,109.5,cvff_auto
*4,o_,s_,quadratic,60,109.5,cvff_auto
*4,p_,s'_,quadratic,100,120,cvff_auto
*4,s3e_,s'_,quadratic,75,109.5,cvff_auto
*4,s3e_,s3e_,quadratic,75,103.5,cvff_auto
*4,s3e_,s4e_,quadratic,75,103.5,cvff_auto
*4,s3e_,s_,quadratic,75,109.5,cvff_auto
*4,s4e_,s'_,quadratic,75,109.5,cvff_auto
*4,s4e_,s3e_,quadratic,75,103.5,cvff_auto
*4,s4e_,s4e_,quadratic,75,103.5,cvff_auto
*4,s4e_,s_,quadratic,75,109.5,cvff_auto
*4,s_,s'_,quadratic,75,109.5,cvff_auto
*4,s_,s3e_,quadratic,75,103.5,cvff_auto
*4,s_,s4e_,quadratic,75,103.5,cvff_auto
*4,s_,s_,quadratic,75,103.5,cvff_auto
*4,si_,s_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*4,sp_,s'_,quadratic,126.506,92.566999999999993,cvff_auto
*4,sp_,s_,quadratic,126.506,92.566999999999993,cvff_auto
*5,c'_,s3e_,quadratic,40,120,cvff_auto
*5,c'_,s4e_,quadratic,40,120,cvff_auto
*5,c'_,s_,quadratic,40,120,cvff_auto
*5,c3m_,o'_,quadratic,70,109.5,cvff_auto
*5,c3m_,o3e_,quadratic,70,109.5,cvff_auto
*5,c3m_,o4e_,quadratic,70,109.5,cvff_auto
*5,c3m_,o_,quadratic,70,109.5,cvff_auto
*5,c4m_,o'_,quadratic,70,109.5,cvff_auto
*5,c4m_,o3e_,quadratic,70,109.5,cvff_auto
*5,c4m_,o4e_,quadratic,70,109.5,cvff_auto
*5,c4m_,o_,quadratic,70,109.5,cvff_auto
*5,c=_,o'_,quadratic,68,120,cvff_auto
*5,c=_,o_,quadratic,68,120,cvff_auto
*5,c_,o_,quadratic,70,109.5,cvff_auto
*5,cp_,o'_,quadratic,60,120,cvff_auto
*5,cp_,o_,quadratic,60,120,cvff_auto
*5,n3m_,s3e_,quadratic,80,109,cvff_auto
*5,n3m_,s4e_,quadratic,80,109,cvff_auto
*5,n3m_,s_,quadratic,80,109,cvff_auto
*5,n4m_,s3e_,quadratic,80,109,cvff_auto
*5,n4m_,s4e_,quadratic,80,109,cvff_auto
*5,n4m_,s_,quadratic,80,109,cvff_auto
*5,n_,s3e_,quadratic,50,120,cvff_auto
*5,n_,s4e_,quadratic,50,120,cvff_auto
*5,n_,s_,quadratic,50,120,cvff_auto
*5,na_,s3e_,quadratic,80,109,cvff_auto
*5,na_,s4e_,quadratic,80,109,cvff_auto
*5,na_,s_,quadratic,80,109,cvff_auto
*5,np_,o'_,quadratic,75,120,cvff_auto
*5,np_,o_,quadratic,75,120,cvff_auto
*5,o_,o'_,quadratic,60,109.5,cvff_auto
*5,o_,o_,quadratic,60,109.5,cvff_auto
*5,p_,s_,quadratic,45,109.5,cvff_auto
*5,s3e_,o'_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*5,s3e_,o_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*5,s4e_,o'_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*5,s4e_,o_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*5,s_,o'_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*5,s_,o_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*5,si_,o_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*5,sp_,o'_,quadratic,126.506,92.566999999999993,cvff_auto
*5,sp_,o_,quadratic,126.506,92.566999999999993,cvff_auto
*6,c'_,o'_,quadratic,68,120,cvff_auto
*6,c3m_,n3m_,quadratic,50,109.5,cvff_auto
*6,c3m_,n4m_,quadratic,50,109.5,cvff_auto
*6,c3m_,n_,quadratic,50,109.5,cvff_auto
*6,c4m_,n3m_,quadratic,50,109.5,cvff_auto
*6,c4m_,n4m_,quadratic,50,109.5,cvff_auto
*6,c4m_,n_,quadratic,50,109.5,cvff_auto
*6,c=_,n3m_,quadratic,90,120,cvff_auto
*6,c=_,n4m_,quadratic,90,120,cvff_auto
*6,c=_,n_,quadratic,90,120,cvff_auto
*6,c_,n3m_,quadratic,50,109.5,cvff_auto
*6,c_,n4m_,quadratic,50,109.5,cvff_auto
*6,c_,n_,quadratic,50,109.5,cvff_auto
*6,cp_,n3m_,quadratic,102,120,cvff_auto
*6,cp_,n4m_,quadratic,102,120,cvff_auto
*6,cp_,n_,quadratic,102,120,cvff_auto
*6,n3m_,o'_,quadratic,80,114,cvff_auto
*6,n4m_,o'_,quadratic,80,114,cvff_auto
*6,n_,o'_,quadratic,80,120,cvff_auto
*6,na_,o'_,quadratic,80,114,cvff_auto
*6,np_,n_,quadratic,75,120,cvff_auto
*6,o_,n3m_,quadratic,72,120,cvff_auto
*6,o_,n4m_,quadratic,72,120.001,cvff_auto
*6,o_,n_,quadratic,72,120,cvff_auto
*6,p_,o'_,quadratic,110,120,cvff_auto
*6,s3e_,n3m_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*6,s3e_,n4m_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
*6,s3e_,n_,quadratic,42.299999999999997,113.09999999999999,cvff_auto
