t1,t2,style,k,r0,source
br_,p_,quadratic,183.1472,2.1800000000000002,cvff_auto
br_,s'_,quadratic,187.60169999999999,2.145,cvff_auto
br_,s3e_,quadratic,187.8836,2.1749999999999998,cvff_auto
br_,s4e_,quadratic,187.8836,2.1749999999999998,cvff_auto
br_,s_,quadratic,187.8836,2.1749999999999998,cvff_auto
br_,si_,quadratic,180.232,2.2349999999999999,cvff_auto
br_,sp_,quadratic,172.80170000000001,2.145,cvff_auto
c,c,quadratic,322.7158,1.526,cvff
c,c',quadratic,283.0924,1.52,cvff
c,c5,quadratic,283.0924,1.51,cvff
c,c=,quadratic,322.80000000000001,1.5,cvff
c,c=1,quadratic,322.80000000000001,1.5,cvff
c,c=2,quadratic,322.80000000000001,1.5,cvff
c,ci,quadratic,283.0924,1.51,cvff
c,cl,quadratic,314,1.7609999999999999,cvff
c,cp,quadratic,283.0924,1.51,cvff
c,f,quadratic,496,1.363,cvff
c,h,quadratic,340.61750000000001,1.105,cvff
c,n,quadratic,377.5752,1.46,cvff
c,n1,quadratic,377.5752,1.46,cvff
c,n2,quadratic,356.59879999999998,1.47,cvff
c,n3,quadratic,356.59879999999998,1.47,cvff
c,n4,quadratic,356.59879999999998,1.47,cvff
c,n=,quadratic,336.80000000000001,1.4750000000000001,cvff
c,n=1,quadratic,336.80000000000001,1.4750000000000001,cvff
c,n=2,quadratic,336.80000000000001,1.4750000000000001,cvff
c,np,quadratic,336.80000000000001,1.4750000000000001,cvff
c,o,quadratic,273.19999999999999,1.425,cvff
c,oh,quadratic,384,1.4199999999999999,cvff
c,s,quadratic,228,1.8,cvff
c,s1,quadratic,228,1.8,cvff
c,sh,quadratic,228,1.8200000000000001,cvff
c,si,quadratic,238,1.8089999999999999,cvff
c,sz,quadratic,238,1.8089999999999999,cvff
c',c=,quadratic,322.80000000000001,1.5,cvff
c',c=1,quadratic,322.80000000000001,1.5,cvff
c',c=2,quadratic,322.80000000000001,1.5,cvff
c',cp,quadratic,351.2527,1.472,cvff
c',h,quadratic,340.61750000000001,1.105,cvff
c',n,quadratic,388,1.3200000000000001,cvff
c',n2,quadratic,388,1.3200000000000001,cvff
c',o,quadratic,400,1.3700000000000001,cvff
c',o',quadratic,615.322,1.23,cvff
c',o-,quadratic,540,1.25,cvff
c',oh,quadratic,400,1.3700000000000001,cvff
c',s',quadratic,510.27749999999997,1.611,cvff
c'_,c'_,quadratic,266.39999999999998,1.5,cvff_auto
c'_,c3m_,quadratic,283.0924,1.52,cvff_auto
c'_,c4m_,quadratic,283.0924,1.52,cvff_auto
c'_,c=_,quadratic,322.80000000000001,1.5,cvff_auto
c'_,c=_1,quadratic,322.80000000000001,1.5,cvff_auto
c'_,c=_2,quadratic,322.80000000000001,1.5,cvff_auto
c'_,c=_3,quadratic,322.80000000000001,1.5,cvff_auto
c'_,c_,quadratic,283.0924,1.52,cvff_auto
c'_,cl_,quadratic,249.8588,1.7270000000000001,cvff_auto
c'_,cp_,quadratic,284.33159999999998,1.5,cvff_auto
c'_,ct_,quadratic,311.14920000000001,1.4199999999999999,cvff_auto
c'_,f_,quadratic,217.70920000000001,1.3899999999999999,cvff_auto
c'_,h_,quadratic,340.61750000000001,1.105,cvff_auto
c'_,i_,quadratic,208.60239999999999,2.0609999999999999,cvff_auto
c'_,n3m_,quadratic,272,1.446,cvff_auto
c'_,n4m_,quadratic,332,1.3999999999999999,cvff_auto
c'_,n=_,quadratic,296.2996,1.405,cvff_auto
c'_,n=_1,quadratic,296.2996,1.405,cvff_auto
c'_,n=_2,quadratic,296.2996,1.405,cvff_auto
c'_,n=_3,quadratic,296.2996,1.405,cvff_auto
c'_,n_,quadratic,388,1.3600000000000001,cvff_auto
c'_,np_,quadratic,296.2996,1.405,cvff_auto
c'_,o'_,quadratic,615.322,1.22,cvff_auto
c'_,o-_,quadratic,572.88599999999997,1.25,cvff_auto
c'_,o_,quadratic,400,1.3400000000000001,cvff_auto
c'_,op_,quadratic,294.10079999999999,1.3500000000000001,cvff_auto
c'_,p_,quadratic,241.38200000000001,1.72,cvff_auto
c'_,s'_,quadratic,510.27749999999997,1.611,cvff_auto
c'_,s-_,quadratic,280.30599999999998,1.6799999999999999,cvff_auto
c'_,s3e_,quadratic,175.0035,1.77,cvff_auto
c'_,s4e_,quadratic,175.0035,1.77,cvff_auto
c'_,s_,quadratic,175.0035,1.77,cvff_auto
c'_,si_,quadratic,239.3552,1.8300000000000001,cvff_auto
c'_,sp_,quadratic,215.35319999999999,1.74,cvff_auto
c3m_,c3m_,quadratic,322.7158,1.51,cvff_auto
c3m_,c4m_,quadratic,322.7158,1.526,cvff_auto
c3m_,c=_,quadratic,322.80000000000001,1.5,cvff_auto
c3m_,c=_1,quadratic,322.80000000000001,1.5,cvff_auto
c3m_,c=_2,quadratic,322.80000000000001,1.5,cvff_auto
c3m_,c=_3,quadratic,322.80000000000001,1.5,cvff_auto
c3m_,c_,quadratic,322.7158,1.526,cvff_auto
c3m_,cl_,quadratic,314,1.7609999999999999,cvff_auto
c3m_,cp_,quadratic,283.0924,1.51,cvff_auto
c3m_,ct_,quadratic,340,1.3999999999999999,cvff_auto
c3m_,f_,quadratic,496,1.363,cvff_auto
c3m_,h_,quadratic,340.61750000000001,1.105,cvff_auto
c3m_,i_,quadratic,200,2.1200000000000001,cvff_auto
c3m_,n+_,quadratic,270.8836,1.462,cvff_auto
c3m_,n3m_,quadratic,356.59879999999998,1.4850000000000001,cvff_auto
c3m_,n4m_,quadratic,356.59879999999998,1.47,cvff_auto
c3m_,n=_,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
c3m_,n=_1,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
c3m_,n=_2,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
c3m_,n=_3,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
c3m_,n_,quadratic,377.5752,1.46,cvff_auto
c3m_,na_,quadratic,356.59879999999998,1.47,cvff_auto
c3m_,np_,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
c3m_,o'_,quadratic,318.94839999999999,1.3799999999999999,cvff_auto
c3m_,o3e_,quadratic,273.19999999999999,1.4339999999999999,cvff_auto
c3m_,o4e_,quadratic,273.19999999999999,1.425,cvff_auto
c3m_,o_,quadratic,273.19999999999999,1.425,cvff_auto
c3m_,op_,quadratic,346.54840000000002,1.3799999999999999,cvff_auto
c3m_,p_,quadratic,249.1344,1.75,cvff_auto
c3m_,s'_,quadratic,257.33240000000001,1.77,cvff_auto
c3m_,s3e_,quadratic,228,1.8,cvff_auto
c3m_,s4e_,quadratic,228,1.8,cvff_auto
c3m_,s_,quadratic,228,1.8,cvff_auto
c3m_,si_,quadratic,238,1.8089999999999999,cvff_auto
c3m_,sp_,quadratic,242.5324,1.77,cvff_auto
c4m_,c4m_,quadratic,322.7158,1.552,cvff_auto
c4m_,c=_,quadratic,322.80000000000001,1.5,cvff_auto
c4m_,c=_1,quadratic,322.80000000000001,1.5,cvff_auto
c4m_,c=_2,quadratic,322.80000000000001,1.5,cvff_auto
c4m_,c=_3,quadratic,322.80000000000001,1.5,cvff_auto
c4m_,c_,quadratic,322.7158,1.526,cvff_auto
c4m_,cl_,quadratic,314,1.7609999999999999,cvff_auto
c4m_,cp_,quadratic,283.0924,1.51,cvff_auto
c4m_,ct_,quadratic,340,1.3999999999999999,cvff_auto
c4m_,f_,quadratic,496,1.363,cvff_auto
c4m_,h_,quadratic,340.61750000000001,1.105,cvff_auto
c4m_,i_,quadratic,200,2.1200000000000001,cvff_auto
c4m_,n+_,quadratic,270.8836,1.462,cvff_auto
c4m_,n3m_,quadratic,356.59879999999998,1.47,cvff_auto
c4m_,n4m_,quadratic,356.59879999999998,1.4670000000000001,cvff_auto
c4m_,n=_,quadratic,336.80000000000001,1.4750000000000001,cvff_auto
