id,element,ff_type,charge,x,y,z
219,Si,sy2,1.1000000000000001,7.8098087310000004,24.719051361000002,2.281923532
220,H,hoy,0.20000000000000001,8.0678262709999995,21.186857224000001,3.7915899749999999
221,O,oy1,-0.55000000000000004,8.0565242769999994,26.210182190000001,1.6295111179999999
222,O,oy2,-0.55000000000000004,8.8984289170000004,19.737195968999998,1.8383390900000001
223,O,oy3,-0.55000000000000004,8.9217405319999994,23.70753479,1.62173295
224,O,oy4,-0.75800000000000001,7.5964298250000004,18.542669296,3.9206354619999999
225,O,oy5,-0.75800000000000001,7.9864339830000004,24.778551102000002,3.9196379179999998
226,O,oy6,-0.68300000000000005,7.6127634049999999,21.972990035999999,3.985458612
227,Al,ay1,1.4490000000000001,8.5857515339999999,23.291027068999998,4.9879121780000002
228,Si,sy1,1.1000000000000001,9.4275503159999996,21.899065018000002,7.6895117759999998
229,Si,sy2,1.1000000000000001,9.3599376680000006,24.865098953,7.6907086370000002
230,H,hoy,0.20000000000000001,9.1019201279999997,19.381994247000002,6.1810441020000004
231,O,oy1,-0.55000000000000004,9.1132211689999991,23.373968124000001,8.3431215289999994
232,O,oy2,-0.55000000000000004,8.2713165279999998,20.831653594999999,8.1342935559999994
233,O,oy3,-0.55000000000000004,8.2480049130000008,25.876615524000002,8.3509006499999998
234,O,oy7,-0.75800000000000001,9.5733165739999997,22.026180267000001,6.0519971850000003
235,O,oy8,-0.75800000000000001,9.1833124159999997,24.805597304999999,6.0529947279999998
236,O,oy9,-0.68300000000000005,9.5569829940000002,18.595859527999998,5.9871749879999996
237,Al,ay2,1.448,5.9880948070000004,21.78547287,4.9847207070000001
238,Al,sy1,0.80000000000000004,5.1462955470000002,23.177434921,2.2831213469999998
239,Si,sy2,1.1000000000000001,5.213909149,20.211400986000001,2.281923532
240,H,hoy,0.20000000000000001,5.4719257350000001,25.694505692,3.7915899749999999
241,O,oy1,-0.78300000000000003,5.4606246949999999,21.702531815,1.6295111179999999
242,O,oy2,-0.78300000000000003,6.302529335,24.244846343999999,1.8383390900000001
243,O,oy3,-0.55000000000000004,6.3258404730000004,19.199884415,1.62173295
244,O,oy4,-0.75800000000000001,5.0005297659999997,23.050319672000001,3.9206354619999999
245,O,oy5,-0.75800000000000001,5.3905339239999996,20.270902633999999,3.9196379179999998
246,O,oy6,-0.68300000000000005,5.0168638229999996,26.480640411,3.985458612
247,Al,ay1,1.4490000000000001,11.181651114999999,0.75277757599999995,4.9879121780000002
248,Si,sy1,1.1000000000000001,12.023450851,8.376114845,7.6895117759999998
249,Si,sy2,1.1000000000000001,11.95583725,2.3268489840000002,7.6907086370000002
250,H,hoy,0.20000000000000001,11.697819709999999,5.8590435980000004,6.1810441020000004
251,O,oy1,-0.55000000000000004,11.70912075,0.83571833399999995,8.3431215289999994
252,O,oy2,-0.55000000000000004,10.867217064,7.3087038990000002,8.1342935559999994
253,O,oy3,-0.78300000000000003,10.843905448999999,3.3383655550000002,8.3509006499999998
254,O,oy7,-0.75800000000000001,12.169216155999999,8.503231049,6.0519971850000003
255,O,oy8,-0.75800000000000001,11.779211997999999,2.2673480509999999,6.0529947279999998
256,O,oy9,-0.68300000000000005,12.152882576,5.0729093550000002,5.9871749879999996
257,Al,ay2,1.448,13.775794983000001,8.2625226969999996,4.9847207070000001
258,Si,sy1,1.1000000000000001,12.933995247,0.63918477299999998,2.2831213469999998
259,Si,sy2,1.1000000000000001,13.001608849,6.6884512899999997,2.281923532
260,H,hoy,0.20000000000000001,13.259626388999999,3.1562564370000001,3.7915899749999999
261,O,oy1,-0.55000000000000004,13.248324394000001,8.1795816420000005,1.6295111179999999
262,O,oy2,-0.78300000000000003,14.090229034,1.706596255,1.8383390900000001
263,O,oy3,-0.55000000000000004,14.113540649000001,5.6769342419999997,1.62173295
264,O,oy4,-0.75800000000000001,12.788229941999999,0.51206904600000003,3.9206354619999999
265,O,oy5,-0.75800000000000001,13.178234099999999,6.7479519840000002,3.9196379179999998
266,O,oy6,-0.68300000000000005,12.804563522,3.9423906799999999,3.985458612
267,Al,ay1,1.4490000000000001,13.777550697000001,5.2604274750000002,4.9879121780000002
268,Al,ayt1,0.80000000000000004,14.619350432999999,3.8684651849999998,7.6895117759999998
269,Si,sy2,1.1000000000000001,14.551736832,6.8344988820000001,7.6907086370000002
270,K,k+,1,11.977943420000001,5.391149521,9.9726581569999997
271,H,hoy,0.20000000000000001,14.293720244999999,1.351393461,6.1810441020000004
272,O,oy1,-0.78300000000000003,14.305021286000001,5.3433685300000002,8.3431215289999994
273,O,oy2,-0.78300000000000003,13.463116646,2.801053762,8.1342935559999994
274,O,oy3,-0.55000000000000004,13.439805031000001,7.8460154529999997,8.3509006499999998
275,O,oy7,-0.75800000000000001,14.765115738,3.9955809119999999,6.0519971850000003
276,O,oy8,-0.75800000000000001,14.37511158,6.7749981879999996,6.0529947279999998
277,O,oy9,-0.68300000000000005,14.748782157999999,0.56525933699999997,5.9871749879999996
