t1,t2,t3,t4,style,kphi,n,phi0,source
CL,CTL2,CTL2,CTL2,torsion_1,0.11,4,0,
CL,CTL2,CTL2,CTL2,torsion_1,0.089999999999999997,6,180,
CL,CTL2,CTL2,CTL3,torsion_1,0.20999999999999999,1,180,
CL,CTL2,CTL2,CTL3,torsion_1,0.39000000000000001,2,0,
CL,CTL2,CTL2,CTL3,torsion_1,0.34999999999999998,3,180,
CL,CTL2,CTL2,CTL3,torsion_1,0.11,4,0,
CL,CTL2,CTL2,CTL3,torsion_1,0.089999999999999997,6,180,
CL,OSL,CTL1,CTL2,torsion_1,0.69999999999999996,1,180,
CL,OSL,CTL1,CTL3,torsion_1,0.69999999999999996,1,180,
CL,OSL,CTL2,CTL2,torsion_1,0.69999999999999996,1,180,
CL,OSL,CTL2,CTL3,torsion_1,0.69999999999999996,1,180,
CP1,C,N,CP1,torsion_1,2.75,2,180,
CP1,C,N,CP1,torsion_1,0.29999999999999999,4,0,
CP1,C,N,CP3,torsion_1,2.75,2,180,
CP1,C,N,CP3,torsion_1,0.29999999999999999,4,0,
CP1,C,NH1,CT1,torsion_1,1.6000000000000001,1,0,
CP1,C,NH1,CT1,torsion_1,2.5,2,180,
CP1,C,NH1,CT2,torsion_1,1.6000000000000001,1,0,
CP1,C,NH1,CT2,torsion_1,2.5,2,180,
CP1,C,NH1,CT3,torsion_1,1.6000000000000001,1,0,
CP1,C,NH1,CT3,torsion_1,2.5,2,180,
CP1,C,NH1,H,torsion_1,2.5,2,180,
CP1,CC,NH2,H,torsion_1,2.5,2,180,
CP1,N,C,CT1,torsion_1,2.75,2,180,
CP1,N,C,CT1,torsion_1,0.29999999999999999,4,0,
CP1,N,C,CT2,torsion_1,2.75,2,180,
CP1,N,C,CT2,torsion_1,0.29999999999999999,4,0,
CP1,N,C,CT3,torsion_1,2.75,2,180,
CP1,N,C,CT3,torsion_1,0.29999999999999999,4,0,
CP1,N,C,O,torsion_1,2.75,2,180,
CP1,N,C,O,torsion_1,0.29999999999999999,4,0,
CP1,N,CP3,CP2,torsion_1,0.10000000000000001,3,0,
CP1,N,CP3,HA,torsion_1,0.10000000000000001,3,0,
CP1,NP,CP3,CP2,torsion_1,0.080000000000000002,3,0,
CP1,NP,CP3,HA,torsion_1,0.080000000000000002,3,0,
CP2,CP1,C,N,torsion_1,0.40000000000000002,1,0,
CP2,CP1,C,N,torsion_1,0.59999999999999998,2,0,
CP2,CP1,C,NH1,torsion_1,0.40000000000000002,1,0,
CP2,CP1,C,NH1,torsion_1,0.59999999999999998,2,0,
CP2,CP1,C,O,torsion_1,0.40000000000000002,1,180,
CP2,CP1,C,O,torsion_1,0.59999999999999998,2,0,
CP2,CP1,CC,NH2,torsion_1,0.40000000000000002,1,0,
CP2,CP1,CC,NH2,torsion_1,0.59999999999999998,2,0,
CP2,CP1,CC,O,torsion_1,0.40000000000000002,1,180,
CP2,CP1,CC,O,torsion_1,0.59999999999999998,2,0,
CP2,CP1,CC,OC,torsion_1,0.16,3,0,
CP2,CP1,N,CP3,torsion_1,0.10000000000000001,3,0,
CP2,CP1,NP,CP3,torsion_1,0.080000000000000002,3,0,
CP2,CP1,NP,HC,torsion_1,0.080000000000000002,3,0,
CP2,CP3,NP,HC,torsion_1,0.080000000000000002,3,0,
CP3,N,C,CT1,torsion_1,2.75,2,180,
CP3,N,C,CT1,torsion_1,0.29999999999999999,4,0,
CP3,N,C,CT2,torsion_1,2.75,2,180,
CP3,N,C,CT2,torsion_1,0.29999999999999999,4,0,
CP3,N,C,CT3,torsion_1,2.75,2,180,
CP3,N,C,CT3,torsion_1,0.29999999999999999,4,0,
CP3,N,C,O,torsion_1,2.75,2,180,
CP3,N,C,O,torsion_1,0.29999999999999999,4,0,
CP3,N,CP1,HB,torsion_1,0.10000000000000001,3,0,
CP3,NP,CP1,HB,torsion_1,0.080000000000000002,3,0,
CPB,CE1,CE2,HE2,torsion_1,5.2000000000000002,2,180,
CPH1,CPH1,CT2,CT1,torsion_1,0.20000000000000001,1,0,
CPH1,CPH1,CT2,CT1,torsion_1,0.27000000000000002,2,0,
CPH1,CPH1,CT2,CT1,torsion_1,0,3,0,
CPH1,CPH1,CT2,CT2,torsion_1,0.40000000000000002,1,0,
CPH1,CPH1,CT2,CT3,torsion_1,0.20000000000000001,1,0,
CPH1,CPH1,CT2,CT3,torsion_1,0.27000000000000002,2,0,
CPH1,CPH1,CT2,CT3,torsion_1,0,3,0,
CPH1,CPH1,CT2,HA,torsion_1,0,3,0,
CPH1,CPH1,CT3,HA,torsion_1,0,3,0,
CPH1,CPH1,NR1,CPH2,torsion_1,14,2,180,
CPH1,CPH1,NR1,H,torsion_1,1,2,180,
CPH1,CPH1,NR2,CPH2,torsion_1,14,2,180,
CPH1,CPH1,NR3,CPH2,torsion_1,12,2,180,
CPH1,CPH1,NR3,H,torsion_1,1.3999999999999999,2,180,
CPH1,NR1,CPH2,HR1,torsion_1,3,2,180,
CPH1,NR1,CPH2,NR2,torsion_1,14,2,180,
CPH1,NR2,CPH2,HR1,torsion_1,3,2,180,
CPH1,NR2,CPH2,NR1,torsion_1,14,2,180,
CPH1,NR3,CPH2,HR2,torsion_1,3,2,180,
CPH1,NR3,CPH2,NR3,torsion_1,12,2,180,
CPH2,NR1,CPH1,CT2,torsion_1,3,2,180,
CPH2,NR1,CPH1,CT3,torsion_1,3,2,180,
CPH2,NR1,CPH1,HR3,torsion_1,3,2,180,
CPH2,NR2,CPH1,CT2,torsion_1,3,2,180,
CPH2,NR2,CPH1,HR3,torsion_1,3,2,180,
CPH2,NR3,CPH1,CT2,torsion_1,2.5,2,180,
CPH2,NR3,CPH1,HR1,torsion_1,2.5,2,180,
CPT,CA,CA,HA,torsion_1,3.5,2,180,
CPT,CA,CA,HP,torsion_1,3,2,180,
CPT,CA,CY,HA,torsion_1,1.2,2,180,
CPT,CPT,CA,HA,torsion_1,3,2,180,
CPT,CPT,CA,HP,torsion_1,3,2,180,
CPT,CPT,CY,CT2,torsion_1,3,2,180,
CPT,CPT,CY,HA,torsion_1,3,2,180,
CPT,CPT,CY,HP,torsion_1,2.7999999999999998,2,180,
CPT,CPT,NY,H,torsion_1,0.80000000000000004,2,180,
CPT,CY,CA,HA,torsion_1,1.2,2,180,
CPT,CY,CA,HP,torsion_1,2,2,180,
CPT,CY,CA,NY,torsion_1,4,2,180,
CPT,CY,CT2,CT1,torsion_1,0.23000000000000001,2,180,
CPT,CY,CT2,CT3,torsion_1,0.23000000000000001,2,180,
CPT,CY,CT2,HA,torsion_1,0.25,2,180,
CPT,NY,CA,CY,torsion_1,5,2,180,
CPT,NY,CA,HA,torsion_1,3,2,180,
CPT,NY,CA,HP,torsion_1,2,2,180,
CT1,C,NH1,CT1,torsion_1,1.6000000000000001,1,0,
CT1,C,NH1,CT1,torsion_1,2.5,2,180,
CT1,C,NH1,CT2,torsion_1,1.6000000000000001,1,0,
CT1,C,NH1,CT2,torsion_1,2.5,2,180,
CT1,C,NH1,CT3,torsion_1,1.6000000000000001,1,0,
CT1,C,NH1,CT3,torsion_1,2.5,2,180,
CT1,C,NH1,H,torsion_1,2.5,2,180,
CT1,CC,NH2,H,torsion_1,1.3999999999999999,2,180,
CT1,CT1,C,N,torsion_1,0,1,0,
CT1,CT1,C,NH1,torsion_1,0,1,0,
CT1,CT1,C,O,torsion_1,1.3999999999999999,1,0,
CT1,CT1,NH1,H,torsion_1,0,1,0,
CT1,CT1,OH1,H,torsion_1,1.3300000000000001,1,0,
CT1,CT1,OH1,H,torsion_1,0.17999999999999999,2,0,
CT1,CT1,OH1,H,torsion_1,0.32000000000000001,3,0,
CT1,CT2,CPH1,NR1,torsion_1,0.19,3,0,
CT1,CT2,CPH1,NR2,torsion_1,0.19,3,0,
CT1,CT2,CPH1,NR3,torsion_1,0.19,3,0,
CT1,CT2,OH1,H,torsion_1,1.3,1,0,
CT1,CT2,OH1,H,torsion_1,0.29999999999999999,2,0,
CT1,CT2,OH1,H,torsion_1,0.41999999999999998,3,0,
CT1,CT2,S,HS,torsion_1,0.23999999999999999,1,0,
CT1,CT2,S,HS,torsion_1,0.14999999999999999,2,0,
CT1,CT2,S,HS,torsion_1,0.27000000000000002,3,0,
CT1,CT2,SM,SM,torsion_1,0.31,3,0,
CT1,NH1,C,CT2,torsion_1,1.6000000000000001,1,0,
CT1,NH1,C,CT2,torsion_1,2.5,2,180,
CT1,NH1,C,CT3,torsion_1,1.6000000000000001,1,0,
CT1,NH1,C,CT3,torsion_1,2.5,2,180,
CT1,NH1,C,O,torsion_1,2.5,2,180,
CT2,C,NH1,CT2,torsion_1,1.6000000000000001,1,0,
CT2,C,NH1,CT2,torsion_1,2.5,2,180,
CT2,C,NH1,CT3,torsion_1,1.6000000000000001,1,0,
CT2,C,NH1,CT3,torsion_1,2.5,2,180,
CT2,C,NH1,H,torsion_1,2.5,2,180,
CT2,CA,CA,HP,torsion_1,4.2000000000000002,2,180,
CT2,CC,NH2,H,torsion_1,1.3999999999999999,2,180,
CT2,CE1,CE2,HE2,torsion_1,5.2000000000000002,2,180,
CT2,CPH1,CPH1,HR1,torsion_1,1,2,180,
CT2,CPH1,CPH1,HR3,torsion_1,2,2,180,
CT2,CPH1,CPH1,NR1,torsion_1,3,2,180,
CT2,CPH1,CPH1,NR2,torsion_1,3,2,180,
CT2,CPH1,CPH1,NR3,torsion_1,2.5,2,180,
CT2,CPH1,NR1,H,torsion_1,1,2,180,
CT2,CPH1,NR3,H,torsion_1,3,2,180,
CT2,CT1,C,N,torsion_1,0,1,0,
CT2,CT1,C,NH1,torsion_1,0,1,0,
CT2,CT1,C,O,torsion_1,1.3999999999999999,1,0,
CT2,CT1,NH1,H,torsion_1,0,1,0,
