t1,t2,delta_ij,delta_ji
c5,f,0.25890000000000002,-0.25890000000000002
c5,cl,0.1163,-0.1163
c5,br,0.072499999999999995,-0.072499999999999995
c5,i,0.064199999999999993,-0.064199999999999993
c5,si,-0.22700000000000001,0.22700000000000001
cs,cs,0,0
cs,c=,0,0
cs,c=1,0,0
cs,c=2,0,0
cs,c-,0.0424,-0.0424
cs,ct,0.085199999999999998,-0.085199999999999998
cs,n3,0.1216,-0.1216
cs,n,0.1993,-0.1993
cs,n2,0.1993,-0.1993
cs,n=,0.1993,-0.1993
cs,n=1,0.1993,-0.1993
cs,n=2,0.1993,-0.1993
cs,np,0.1993,-0.1993
cs,n4,0.2989,-0.048899999999999999
cs,nt,0.32300000000000001,-0.32300000000000001
cs,o,0.13669999999999999,-0.13669999999999999
cs,oh,0.029700000000000001,-0.029700000000000001
cs,oz,0.13669999999999999,-0.13669999999999999
cs,op,0.35830000000000001,-0.35830000000000001
cs,o',0.35830000000000001,-0.35830000000000001
cs,s,0.028199999999999999,-0.028199999999999999
cs,sh,-0.022200000000000001,0.022200000000000001
cs,sp,-0.14999999999999999,0.14999999999999999
cs,s',0.073200000000000001,-0.073200000000000001
cs,p,-0.12670000000000001,0.12670000000000001
cs,h,-0.13,0.13
cs,f,0.25890000000000002,-0.25890000000000002
cs,cl,0.1163,-0.1163
cs,br,0.072499999999999995,-0.072499999999999995
cs,i,0.064199999999999993,-0.064199999999999993
cs,si,-0.22700000000000001,0.22700000000000001
c=,c=,0,0
c=,c=1,0,0
c=,c=2,0,0
c=,c-,0.0424,-0.0424
c=,ct,0.085199999999999998,-0.085199999999999998
c=,n3,0.1216,-0.1216
c=,n,0.1993,-0.1993
c=,n2,0.1993,-0.1993
c=,n=,0.29999999999999999,-0.29999999999999999
c=,n=1,0.29999999999999999,-0.29999999999999999
c=,n=2,0.29999999999999999,-0.29999999999999999
c=,np,0.1993,-0.1993
c=,n4,0.2989,-0.048899999999999999
c=,nt,0.32300000000000001,-0.32300000000000001
c=,o,0.13669999999999999,-0.13669999999999999
c=,oh,0.029700000000000001,-0.029700000000000001
c=,oz,0.13669999999999999,-0.13669999999999999
c=,op,0.35830000000000001,-0.35830000000000001
c=,o',0.35830000000000001,-0.35830000000000001
c=,s,0.028199999999999999,-0.028199999999999999
c=,sh,-0.022200000000000001,0.022200000000000001
c=,sp,0.073200000000000001,-0.073200000000000001
c=,s',0.073200000000000001,-0.073200000000000001
c=,p,-0.12670000000000001,0.12670000000000001
c=,h,-0.10000000000000001,0.10000000000000001
c=,f,0.25890000000000002,-0.25890000000000002
c=,cl,0.1163,-0.1163
c=,br,0.072499999999999995,-0.072499999999999995
c=,i,0.064199999999999993,-0.064199999999999993
c=,si,-0.22700000000000001,0.22700000000000001
c=1,c=1,0,0
