atom_type,nonb,bond,angle,torsion,oop
sie,sie,sie,sie,sie,sie
sp,s',sp,sp,sp,sp
sr2+,sr2+,ca+,ca+,ca+,ca+
stc,stc,stc,stc,stc,stc
sy1,sy1,sy1,sy1,sy1,sy1
sy2,sy1,sy2,sy2,sy2,sy2
sz,sz,sz,sz,sz,sz
ti1,ti1,ti1,ti1,ti1,ti1
ti2,ti1,ti1,ti2,ti1,ti1
zn2+,zn2+,ca+,ca+,ca+,ca+
