atom_type,element,mass_amu,vdw_style,lj_a,lj_b,notes
oc10,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in ettringite, Al(OH)6 unit (-0.9)"
oc11,O,15.99940013885498,lj_ab_12_6,,,"1 Oxygen atom in ettringite, sulfate unit (-0.6)"
oc12,O,15.99940013885498,lj_ab_12_6,,,2 Oxygen atom in tobermorite ring (-0.6 and -0.5)
oc13,O,15.99940013885498,lj_ab_12_6,,,"1 Oxygen atom in tobermorite in apical position (-0.925 in tob 11A, -1.0 in tob 14A)"
oc14,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in tobermorite, SiOH unit (-0.66)"
oc15,O,15.99940013885498,lj_ab_12_6,,,"1 Oxygen atom in monosulfate, sulfate unit (-0.6)"
oc16,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in monosulfate, Al(OH)6 unit (-0.8)"
oc17,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in monosulfate, Al(OH)6 unit (-0.8)"
oc18,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in monosulfate, Al(OH)6 unit (-0.8)"
oc19,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in monosulfate, Al(OH)6 unit (-0.8)"
oc2,O,15.99940013885498,lj_ab_12_6,,,0 Oxide ion in Ca3SiO5 (-1.5)
oc20,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in monosulfate, Al(OH)6 unit (-0.8)"
oc21,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in monosulfate, Al(OH)6 unit (-0.8)"
oc22,O,15.99940013885498,lj_ab_12_6,,,"1 Oxygen atom in tobermorite 14A, apical (-1.0)"
oc23,O,15.99940013885498,lj_ab_12_6,,,2 Oxygen atom in bulk silica (-0.55)
oc24,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom on silica surface and clay edge (-0.675 in Si-OH, -0.9 in SiO-)"
oc25,O,15.99940013885498,lj_ab_12_6,,,"1 Oxygen atom in sulfate ion (gypsum, -0.65)"
oc3,O,15.99940013885498,lj_ab_12_6,,,2 Oxygen atom in aluminate ring in Ca3Al2O6 (-0.75)
oc4,O,15.99940013885498,lj_ab_12_6,,,1 Oxygen atom in apical position in Ca3Al2O6 (-1.35)
oc5,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in ettringite, Al(OH)6 unit (-0.9) and in superficial hydroxide ions (-1.05)"
oc6,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in ettringite, Al(OH)6 unit (-0.9)"
oc7,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in ettringite, Al(OH)6 unit (-0.9)"
oc8,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in ettringite, Al(OH)6 unit (-0.9)"
oc9,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in ettringite, Al(OH)6 unit (-0.9)"
oe,O,15.99940013885498,lj_ab_12_6,,,2 sp3 oxygen in ester
oe1,O,15.99940013885498,lj_ab_12_6,,,2 Oxygen atom in PEO backbone
oet5,O,14.99940013885498,lj_ab_12_6,,,2 Oxygen atom in PEO backbone with lone pairs et5 attached (et5=-0.12)
oh,O,15.99940013885498,lj_ab_12_6,,,2 oxygen bonded to hydrogen
oo,O,15.99940013885498,lj_ab_12_6,,,"1 oxygen in carbonyl group, carbonate only"
op,O,15.99940013885498,lj_ab_12_6,,,2 sp2 aromatic in 5 membered ring
osh,O,15.99491024017334,lj_ab_12_6,,,2 oxygen atom in terminal hydroxyl group on silicon
osi,O,16,lj_ab_12_6,,,2 siloxane oxygen
oss,O,15.99491024017334,lj_ab_12_6,,,2 oxygen atom betweem two silicons
ot5,O,14.99940013885498,lj_ab_12_6,,,2 Oxygen atom in TIP5P water model
oy1,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in silicate sheet, surface (-0.55, -0.783 if next to Al defect)"
oy2,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in silicate sheet, surface (-0.55, -0.783 if next to Al defect)"
oy3,O,15.99940013885498,lj_ab_12_6,,,"2 Oxygen atom in silicate sheet, surface (-0.55, -0.783 if next to Al defect)"
oy4,O,15.99940013885498,lj_ab_12_6,,,"3 Oxygen atom in octahedral aluminate sheet (-0.758, -0.867 if next to Mg defect)"
oy5,O,15.99940013885498,lj_ab_12_6,,,"3 Oxygen atom in octahedral aluminate sheet (-0.758, -0.867 if next to Mg defect)"
oy6,O,15.99940013885498,lj_ab_12_6,,,"3 Oxygen atom in octahedral aluminate sheet (-0.683, -0.792 if next to Mg defect)"
oy7,O,15.99940013885498,lj_ab_12_6,,,"3 Oxygen atom in octahedral aluminate sheet (-0.758, -0.867 if next to Mg defect)"
oy8,O,15.99940013885498,lj_ab_12_6,,,"3 Oxygen atom in octahedral aluminate sheet (-0.758, -0.867 if next to Mg defect)"
