t1,t2,t3,style,k,theta0_deg,source
*7,c3m_,c3m_,quadratic,46,109.5,cff91_auto
*7,c3m_,c4m_,quadratic,46,109.5,cff91_auto
*7,c3m_,c_,quadratic,46,109.5,cff91_auto
*7,c4m_,c3m_,quadratic,46,109.5,cff91_auto
*7,c4m_,c4m_,quadratic,46,109.5,cff91_auto
*7,c4m_,c_,quadratic,46,109.5,cff91_auto
*7,c=_,c3m_,quadratic,36.200000000000003,120,cff91_auto
*7,c=_,c4m_,quadratic,36.200000000000003,120,cff91_auto
*7,c=_,c_,quadratic,36.200000000000003,120,cff91_auto
*7,c_,c3m_,quadratic,46,109.5,cff91_auto
*7,c_,c4m_,quadratic,46,109.5,cff91_auto
*7,c_,c_,quadratic,46,109.5,cff91_auto
*7,cp_,c3m_,quadratic,80,120,cff91_auto
*7,cp_,c4m_,quadratic,80,120,cff91_auto
*7,cp_,c_,quadratic,80,120,cff91_auto
*7,n3m_,o_,quadratic,80,109,cff91_auto
*7,n4m_,o_,quadratic,80,109,cff91_auto
*7,n_,o_,quadratic,50,120,cff91_auto
*7,na_,o_,quadratic,80,109,cff91_auto
*7,np_,c3m_,quadratic,75,120,cff91_auto
*7,np_,c4m_,quadratic,75,120,cff91_auto
*7,np_,c_,quadratic,75,120,cff91_auto
*7,o_,c3m_,quadratic,60,109.5,cff91_auto
*7,o_,c4m_,quadratic,60,109.5,cff91_auto
*7,o_,c_,quadratic,60,109.5,cff91_auto
*7,p_,o_,quadratic,45,109.5,cff91_auto
*7,s3e_,c3m_,quadratic,58,99,cff91_auto
*7,s3e_,c4m_,quadratic,58,99,cff91_auto
*7,s3e_,c_,quadratic,58,99,cff91_auto
*7,s4e_,c3m_,quadratic,58,99,cff91_auto
*7,s4e_,c4m_,quadratic,58,99,cff91_auto
*7,s4e_,c_,quadratic,58,99,cff91_auto
*7,s_,c3m_,quadratic,58,99,cff91_auto
*7,s_,c4m_,quadratic,58,99,cff91_auto
*7,s_,c_,quadratic,58,102,cff91_auto
*7,si_,c3m_,quadratic,44.399999999999999,113.5,cff91_auto
*7,si_,c4m_,quadratic,44.399999999999999,113.5,cff91_auto
*7,si_,c_,quadratic,44.399999999999999,113.5,cff91_auto
*7,sp_,c3m_,quadratic,126.506,92.566999999999993,cff91_auto
*7,sp_,c4m_,quadratic,126.506,92.566999999999993,cff91_auto
*7,sp_,c_,quadratic,126.506,92.566999999999993,cff91_auto
*8,c'_,n3m_,quadratic,53.5,120,cff91_auto
*8,c'_,n4m_,quadratic,53.5,120,cff91_auto
*8,c'_,n_,quadratic,53.5,120,cff91_auto
*8,n3m_,n3m_,quadratic,80,109,cff91_auto
*8,n3m_,n4m_,quadratic,80,109,cff91_auto
*8,n3m_,n_,quadratic,80,109,cff91_auto
*8,n4m_,n3m_,quadratic,80,109,cff91_auto
*8,n4m_,n4m_,quadratic,80,109,cff91_auto
*8,n4m_,n_,quadratic,80,109,cff91_auto
*8,n_,n_,quadratic,50,120,cff91_auto
*8,na_,n3m_,quadratic,80,109,cff91_auto
*8,na_,n4m_,quadratic,80,109,cff91_auto
*8,na_,n_,quadratic,80,109,cff91_auto
*8,p_,n_,quadratic,45,109.5,cff91_auto
*9,c'_,c3m_,quadratic,40,120,cff91_auto
*9,c'_,c4m_,quadratic,40,120,cff91_auto
*9,c'_,c_,quadratic,40,120,cff91_auto
*9,n3m_,c_,quadratic,80,114,cff91_auto
*9,n4m_,c_,quadratic,80,110,cff91_auto
*9,n_,c3m_,quadratic,50,120,cff91_auto
*9,n_,c4m_,quadratic,50,120,cff91_auto
*9,n_,c_,quadratic,50,120,cff91_auto
*9,na_,c3m_,quadratic,80,109,cff91_auto
*9,na_,c4m_,quadratic,80,109,cff91_auto
*9,na_,c_,quadratic,80,109,cff91_auto
*9,p_,c3m_,quadratic,45,109.5,cff91_auto
*9,p_,c4m_,quadratic,45,109.5,cff91_auto
*9,p_,c_,quadratic,45,109.5,cff91_auto
c3m_,c3m_,c3m_,quadratic,46,60,cff91_auto
c3m_,c3m_,n3m_,quadratic,50,60,cff91_auto
c3m_,c3m_,n_,quadratic,50,112,cff91_auto
c3m_,c3m_,o3e_,quadratic,70,60,cff91_auto
c3m_,c3m_,s3e_,quadratic,62,60,cff91_auto
c3m_,c4m_,n_,quadratic,50,112,cff91_auto
c3m_,c_,n_,quadratic,50,114,cff91_auto
c3m_,n3m_,c3m_,quadratic,80,60,cff91_auto
c3m_,n3m_,c_,quadratic,80,113,cff91_auto
c3m_,n3m_,h_,quadratic,41.600000000000001,110,cff91_auto
c3m_,o3e_,c3m_,quadratic,60,58.957999999999998,cff91_auto
c3m_,s3e_,c3m_,quadratic,58,44.5,cff91_auto
c4m_,c3m_,n_,quadratic,50,112,cff91_auto
c4m_,c4m_,c4m_,quadratic,46,95,cff91_auto
c4m_,c4m_,n4m_,quadratic,50,88.340000000000003,cff91_auto
c4m_,c4m_,n_,quadratic,50,112,cff91_auto
c4m_,c4m_,o4e_,quadratic,70,91.840000000000003,cff91_auto
c4m_,c4m_,o_,quadratic,46,121,cff91_auto
c4m_,c4m_,s4e_,quadratic,62,94.590000000000003,cff91_auto
c4m_,c_,n_,quadratic,50,114,cff91_auto
c4m_,n4m_,c4m_,quadratic,80,91.379999999999995,cff91_auto
c4m_,n4m_,h_,quadratic,41.600000000000001,110,cff91_auto
c4m_,o4e_,c4m_,quadratic,60,91.736999999999995,cff91_auto
c4m_,s4e_,c4m_,quadratic,58,85.920000000000002,cff91_auto
c_,c'_,c_,quadratic,40,115,cff91_auto
c_,c'_,n3m_,quadratic,82,114,cff91_auto
c_,c'_,n4m_,quadratic,82,114,cff91_auto
c_,c'_,n_,quadratic,82,114,cff91_auto
c_,c3m_,n_,quadratic,50,112,cff91_auto
c_,c4m_,n_,quadratic,50,112,cff91_auto
c_,c_,n3m_,quadratic,50,114,cff91_auto
c_,c_,n4m_,quadratic,50,114,cff91_auto
c_,c_,n_,quadratic,50,114,cff91_auto
c_,c_,o_,quadratic,46,110.5,cff91_auto
c_,c_,s_,quadratic,46,115,cff91_auto
c_,cp_,s_,quadratic,89,114,cff91_auto
f_,c3m_,h_,quadratic,62,107.09999999999999,cff91_auto
f_,c4m_,h_,quadratic,62,107.09999999999999,cff91_auto
f_,c_,h_,quadratic,62,107.09999999999999,cff91_auto
h_,c'_,h_,quadratic,26.390000000000001,117.02,cff91_auto
h_,c'_,o'_,quadratic,55,120,cff91_auto
h_,o*_,h_,quadratic,50,104.5,cff91_auto
n3m_,c'_,o'_,quadratic,145,125,cff91_auto
n3m_,c3m_,n3m_,quadratic,50,60,cff91_auto
n4m_,c'_,o'_,quadratic,145,123,cff91_auto
n4m_,c4m_,n4m_,quadratic,50,88.400000000000006,cff91_auto
n4m_,c4m_,o4m_,quadratic,70,90,cff91_auto
n4m_,c4m_,s4m_,quadratic,62,89,cff91_auto
n_,c'_,n_,quadratic,102,120,cff91_auto
n_,c'_,o'_,quadratic,145,123,cff91_auto
o'_,c'_,o_,quadratic,145,123,cff91_auto
o4e_,c4m_,o4e_,quadratic,70,90,cff91_auto
o4e_,c4m_,s4e_,quadratic,70,89,cff91_auto
s3e_,c3m_,s3e_,quadratic,62,60,cff91_auto
s4e_,c4m_,s4e_,quadratic,62,91,cff91_auto
si,o_,si_,quadratic,31.100000000000001,149.80000000000001,cff91_auto
